FraudFound,AccidentArea,Age,VehiclePrice,PastNumberOfClaims,Fault
No,Urban,62,"20,000 to 29,000",1,Third Party
No,Urban,38,"20,000 to 29,000",1,Third Party
No,Urban,35,"20,000 to 29,000",more than 4,Third Party
No,Urban,39,"more than 69,000",none,Policy Holder
No,Urban,45,"20,000 to 29,000",2 to 4,Third Party
No,Urban,47,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,45,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,51,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,55,"20,000 to 29,000",none,Third Party
No,Rural,52,"20,000 to 29,000",2 to 4,Third Party
No,Urban,36,"20,000 to 29,000",none,Policy Holder
No,Urban,58,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,38,"40,000 to 59,000",more than 4,Policy Holder
No,Urban,22,"more than 69,000",none,Policy Holder
No,Urban,34,"30,000 to 39,000",1,Policy Holder
No,Urban,31,"30,000 to 39,000",none,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Third Party
No,Urban,28,"20,000 to 29,000",1,Policy Holder
No,Urban,42,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,46,"more than 69,000",1,Policy Holder
No,Urban,61,"40,000 to 59,000",more than 4,Policy Holder
No,Rural,41,"20,000 to 29,000",none,Third Party
No,Rural,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,42,"20,000 to 29,000",1,Policy Holder
No,Urban,31,"30,000 to 39,000",none,Third Party
No,Urban,44,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Third Party
No,Urban,24,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,42,"more than 69,000",2 to 4,Policy Holder
Yes,Urban,28,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,29,"30,000 to 39,000",1,Policy Holder
No,Urban,27,"20,000 to 29,000",1,Third Party
No,Urban,36,"20,000 to 29,000",1,Third Party
No,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,51,"20,000 to 29,000",1,Policy Holder
No,Urban,43,"less than 20,000",2 to 4,Policy Holder
No,Urban,41,"30,000 to 39,000",none,Third Party
No,Urban,50,"30,000 to 39,000",more than 4,Third Party
No,Urban,48,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Urban,33,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,62,"more than 69,000",2 to 4,Policy Holder
No,Urban,0,"30,000 to 39,000",2 to 4,Third Party
No,Urban,29,"30,000 to 39,000",1,Third Party
No,Urban,34,"20,000 to 29,000",2 to 4,Third Party
No,Urban,64,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,33,"20,000 to 29,000",1,Third Party
No,Urban,30,"20,000 to 29,000",2 to 4,Third Party
No,Urban,32,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,31,"30,000 to 39,000",2 to 4,Third Party
No,Urban,32,"20,000 to 29,000",1,Policy Holder
No,Urban,18,"20,000 to 29,000",1,Policy Holder
No,Urban,65,"less than 20,000",1,Policy Holder
No,Urban,43,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,59,"20,000 to 29,000",none,Third Party
No,Urban,40,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,52,"20,000 to 29,000",none,Policy Holder
No,Urban,0,"more than 69,000",more than 4,Policy Holder
No,Urban,48,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,37,"20,000 to 29,000",1,Policy Holder
No,Urban,29,"20,000 to 29,000",none,Policy Holder
Yes,Urban,50,"20,000 to 29,000",none,Policy Holder
No,Urban,57,"30,000 to 39,000",1,Third Party
No,Urban,49,"less than 20,000",1,Third Party
No,Urban,64,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",2 to 4,Third Party
No,Urban,37,"20,000 to 29,000",1,Third Party
Yes,Urban,28,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Rural,27,"20,000 to 29,000",none,Policy Holder
No,Urban,56,"30,000 to 39,000",more than 4,Policy Holder
No,Rural,44,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,44,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,35,"20,000 to 29,000",1,Policy Holder
No,Urban,33,"more than 69,000",2 to 4,Policy Holder
Yes,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Third Party
No,Urban,37,"more than 69,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Third Party
No,Urban,29,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,36,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,78,"30,000 to 39,000",none,Third Party
No,Urban,40,"30,000 to 39,000",1,Policy Holder
Yes,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,42,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,30,"20,000 to 29,000",1,Third Party
No,Urban,22,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Third Party
No,Urban,69,"20,000 to 29,000",none,Policy Holder
No,Urban,31,"20,000 to 29,000",none,Policy Holder
No,Urban,59,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Urban,38,"more than 69,000",1,Policy Holder
No,Urban,24,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,76,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"20,000 to 29,000",none,Third Party
No,Urban,57,"20,000 to 29,000",none,Third Party
No,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",2 to 4,Third Party
No,Urban,30,"20,000 to 29,000",none,Policy Holder
No,Urban,50,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Third Party
No,Urban,34,"20,000 to 29,000",2 to 4,Third Party
No,Urban,51,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,48,"20,000 to 29,000",none,Policy Holder
No,Urban,30,"more than 69,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",none,Policy Holder
No,Rural,34,"30,000 to 39,000",2 to 4,Third Party
No,Urban,52,"20,000 to 29,000",2 to 4,Third Party
No,Urban,35,"20,000 to 29,000",none,Third Party
No,Urban,28,"20,000 to 29,000",1,Policy Holder
No,Urban,51,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,69,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,0,"more than 69,000",more than 4,Policy Holder
No,Urban,43,"30,000 to 39,000",1,Policy Holder
No,Urban,50,"20,000 to 29,000",none,Policy Holder
No,Urban,42,"more than 69,000",more than 4,Policy Holder
No,Urban,65,"20,000 to 29,000",1,Policy Holder
No,Urban,80,"30,000 to 39,000",2 to 4,Third Party
No,Urban,29,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,37,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,62,"more than 69,000",2 to 4,Policy Holder
No,Urban,37,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,52,"40,000 to 59,000",2 to 4,Third Party
No,Urban,41,"20,000 to 29,000",2 to 4,Third Party
No,Urban,59,"30,000 to 39,000",2 to 4,Policy Holder
No,Rural,48,"more than 69,000",1,Policy Holder
No,Urban,35,"40,000 to 59,000",2 to 4,Third Party
No,Rural,32,"30,000 to 39,000",1,Third Party
No,Urban,0,"more than 69,000",none,Policy Holder
No,Urban,54,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,53,"40,000 to 59,000",more than 4,Third Party
No,Urban,32,"20,000 to 29,000",1,Policy Holder
No,Urban,38,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,71,"40,000 to 59,000",1,Policy Holder
Yes,Urban,41,"20,000 to 29,000",none,Policy Holder
No,Urban,33,"20,000 to 29,000",1,Policy Holder
No,Urban,24,"less than 20,000",1,Third Party
No,Urban,25,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,39,"20,000 to 29,000",none,Policy Holder
No,Urban,27,"20,000 to 29,000",1,Policy Holder
No,Rural,38,"20,000 to 29,000",1,Third Party
No,Urban,73,"more than 69,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,37,"20,000 to 29,000",1,Policy Holder
No,Rural,29,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,71,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",1,Policy Holder
No,Urban,60,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,29,"20,000 to 29,000",2 to 4,Third Party
No,Urban,49,"30,000 to 39,000",none,Third Party
No,Urban,48,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,37,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,50,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,46,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"30,000 to 39,000",none,Policy Holder
No,Urban,33,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,24,"20,000 to 29,000",none,Policy Holder
No,Urban,42,"20,000 to 29,000",1,Policy Holder
No,Urban,59,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,43,"more than 69,000",1,Policy Holder
No,Urban,37,"20,000 to 29,000",2 to 4,Third Party
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,31,"less than 20,000",none,Third Party
No,Urban,64,"more than 69,000",2 to 4,Policy Holder
No,Rural,27,"more than 69,000",2 to 4,Third Party
No,Rural,37,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,52,"20,000 to 29,000",2 to 4,Third Party
No,Urban,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,45,"20,000 to 29,000",1,Third Party
No,Rural,47,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,75,"20,000 to 29,000",1,Policy Holder
No,Urban,39,"30,000 to 39,000",1,Policy Holder
No,Urban,49,"20,000 to 29,000",1,Policy Holder
No,Rural,68,"more than 69,000",none,Policy Holder
No,Urban,33,"more than 69,000",2 to 4,Third Party
No,Urban,26,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,55,"20,000 to 29,000",2 to 4,Third Party
No,Urban,32,"40,000 to 59,000",more than 4,Policy Holder
No,Urban,31,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"20,000 to 29,000",1,Policy Holder
No,Urban,52,"30,000 to 39,000",none,Policy Holder
No,Urban,36,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,49,"20,000 to 29,000",1,Policy Holder
No,Rural,26,"30,000 to 39,000",more than 4,Third Party
No,Urban,46,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,32,"30,000 to 39,000",2 to 4,Third Party
No,Urban,41,"less than 20,000",none,Policy Holder
No,Urban,37,"20,000 to 29,000",1,Third Party
No,Urban,52,"20,000 to 29,000",2 to 4,Third Party
No,Urban,0,"more than 69,000",2 to 4,Policy Holder
No,Urban,27,"less than 20,000",none,Third Party
No,Urban,37,"20,000 to 29,000",1,Policy Holder
No,Urban,55,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,29,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,42,"less than 20,000",1,Policy Holder
No,Urban,40,"20,000 to 29,000",none,Third Party
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,39,"20,000 to 29,000",1,Policy Holder
No,Urban,60,"30,000 to 39,000",1,Policy Holder
No,Urban,41,"less than 20,000",1,Policy Holder
No,Urban,28,"more than 69,000",none,Third Party
No,Urban,37,"less than 20,000",none,Third Party
No,Urban,72,"less than 20,000",2 to 4,Policy Holder
No,Urban,40,"20,000 to 29,000",none,Third Party
No,Rural,25,"20,000 to 29,000",2 to 4,Third Party
No,Urban,52,"30,000 to 39,000",1,Policy Holder
No,Urban,47,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,39,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",none,Third Party
No,Urban,30,"20,000 to 29,000",1,Policy Holder
No,Rural,44,"20,000 to 29,000",2 to 4,Third Party
No,Urban,30,"20,000 to 29,000",none,Policy Holder
No,Urban,43,"20,000 to 29,000",1,Third Party
No,Urban,44,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,26,"less than 20,000",more than 4,Policy Holder
Yes,Urban,40,"60,000 to 69,000",2 to 4,Policy Holder
No,Urban,32,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Rural,37,"more than 69,000",1,Policy Holder
No,Rural,53,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,55,"40,000 to 59,000",2 to 4,Third Party
No,Urban,61,"less than 20,000",none,Third Party
No,Urban,28,"30,000 to 39,000",1,Third Party
No,Urban,26,"20,000 to 29,000",none,Policy Holder
No,Rural,27,"less than 20,000",none,Third Party
No,Urban,35,"30,000 to 39,000",none,Policy Holder
No,Urban,46,"20,000 to 29,000",none,Third Party
No,Urban,30,"40,000 to 59,000",more than 4,Third Party
No,Urban,19,"20,000 to 29,000",1,Policy Holder
No,Urban,39,"30,000 to 39,000",1,Third Party
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,47,"20,000 to 29,000",2 to 4,Third Party
No,Rural,48,"40,000 to 59,000",1,Policy Holder
No,Urban,37,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,35,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,35,"more than 69,000",2 to 4,Policy Holder
No,Rural,64,"40,000 to 59,000",more than 4,Third Party
No,Rural,56,"more than 69,000",2 to 4,Policy Holder
No,Urban,27,"more than 69,000",1,Policy Holder
No,Urban,0,"more than 69,000",more than 4,Policy Holder
No,Urban,34,"40,000 to 59,000",none,Policy Holder
No,Urban,39,"20,000 to 29,000",2 to 4,Third Party
No,Urban,55,"20,000 to 29,000",1,Policy Holder
No,Urban,27,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,30,"20,000 to 29,000",none,Policy Holder
No,Urban,70,"less than 20,000",none,Policy Holder
No,Rural,62,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,47,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,63,"more than 69,000",more than 4,Policy Holder
No,Urban,63,"30,000 to 39,000",none,Policy Holder
No,Urban,37,"30,000 to 39,000",none,Policy Holder
No,Rural,34,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,31,"more than 69,000",more than 4,Policy Holder
No,Urban,36,"20,000 to 29,000",none,Policy Holder
No,Urban,27,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Urban,31,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,26,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,43,"30,000 to 39,000",none,Policy Holder
No,Urban,39,"20,000 to 29,000",none,Policy Holder
No,Urban,39,"20,000 to 29,000",1,Policy Holder
No,Urban,23,"20,000 to 29,000",2 to 4,Third Party
No,Urban,51,"20,000 to 29,000",2 to 4,Third Party
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,53,"20,000 to 29,000",none,Policy Holder
No,Urban,65,"20,000 to 29,000",none,Policy Holder
No,Urban,21,"20,000 to 29,000",none,Policy Holder
No,Urban,78,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,50,"20,000 to 29,000",1,Third Party
No,Urban,47,"30,000 to 39,000",none,Policy Holder
No,Urban,55,"more than 69,000",2 to 4,Policy Holder
No,Rural,33,"more than 69,000",none,Policy Holder
No,Urban,44,"more than 69,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Policy Holder
No,Urban,30,"more than 69,000",more than 4,Policy Holder
No,Urban,36,"30,000 to 39,000",none,Policy Holder
No,Urban,41,"20,000 to 29,000",none,Policy Holder
Yes,Urban,45,"20,000 to 29,000",1,Policy Holder
No,Urban,28,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,52,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,35,"20,000 to 29,000",none,Third Party
No,Urban,50,"20,000 to 29,000",1,Policy Holder
No,Urban,36,"more than 69,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,28,"more than 69,000",2 to 4,Policy Holder
No,Urban,38,"20,000 to 29,000",1,Third Party
No,Urban,36,"20,000 to 29,000",1,Policy Holder
No,Urban,48,"20,000 to 29,000",more than 4,Third Party
No,Urban,50,"20,000 to 29,000",none,Third Party
No,Urban,42,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"30,000 to 39,000",none,Third Party
No,Urban,60,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,23,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"30,000 to 39,000",more than 4,Third Party
No,Urban,43,"20,000 to 29,000",none,Policy Holder
No,Urban,50,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,48,"more than 69,000",none,Policy Holder
No,Urban,52,"20,000 to 29,000",1,Third Party
No,Rural,27,"less than 20,000",none,Third Party
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Urban,49,"30,000 to 39,000",2 to 4,Third Party
Yes,Urban,44,"more than 69,000",2 to 4,Policy Holder
No,Urban,75,"60,000 to 69,000",1,Policy Holder
No,Urban,61,"20,000 to 29,000",1,Policy Holder
No,Urban,36,"more than 69,000",2 to 4,Policy Holder
No,Urban,24,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,43,"20,000 to 29,000",1,Third Party
No,Urban,52,"20,000 to 29,000",none,Third Party
No,Urban,42,"20,000 to 29,000",none,Policy Holder
No,Urban,60,"20,000 to 29,000",more than 4,Third Party
No,Urban,34,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",1,Policy Holder
No,Urban,22,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,60,"more than 69,000",1,Policy Holder
No,Urban,34,"20,000 to 29,000",2 to 4,Third Party
No,Urban,79,"20,000 to 29,000",1,Policy Holder
No,Rural,70,"20,000 to 29,000",1,Policy Holder
No,Urban,51,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",more than 4,Policy Holder
Yes,Urban,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,59,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,55,"40,000 to 59,000",1,Policy Holder
No,Urban,45,"30,000 to 39,000",none,Policy Holder
No,Urban,52,"20,000 to 29,000",1,Third Party
No,Urban,37,"20,000 to 29,000",1,Third Party
No,Urban,50,"20,000 to 29,000",none,Policy Holder
No,Urban,44,"30,000 to 39,000",none,Policy Holder
Yes,Urban,40,"20,000 to 29,000",none,Policy Holder
No,Urban,47,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,37,"20,000 to 29,000",1,Third Party
No,Urban,59,"less than 20,000",none,Policy Holder
Yes,Urban,32,"more than 69,000",2 to 4,Policy Holder
No,Urban,64,"60,000 to 69,000",2 to 4,Policy Holder
No,Urban,38,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,38,"60,000 to 69,000",2 to 4,Third Party
No,Urban,58,"less than 20,000",1,Third Party
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,48,"40,000 to 59,000",2 to 4,Third Party
No,Urban,30,"30,000 to 39,000",1,Third Party
No,Urban,45,"more than 69,000",2 to 4,Policy Holder
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,31,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,40,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,28,"more than 69,000",none,Third Party
No,Urban,51,"less than 20,000",none,Policy Holder
No,Urban,32,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,47,"20,000 to 29,000",more than 4,Third Party
No,Urban,39,"more than 69,000",1,Third Party
No,Urban,40,"more than 69,000",none,Third Party
No,Urban,23,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,32,"20,000 to 29,000",1,Third Party
No,Urban,79,"30,000 to 39,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",1,Third Party
No,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,40,"20,000 to 29,000",none,Third Party
No,Urban,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,59,"20,000 to 29,000",none,Policy Holder
No,Urban,44,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,54,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,39,"20,000 to 29,000",none,Third Party
No,Urban,43,"40,000 to 59,000",1,Policy Holder
No,Urban,27,"more than 69,000",2 to 4,Policy Holder
No,Urban,57,"more than 69,000",none,Third Party
No,Urban,59,"20,000 to 29,000",1,Third Party
No,Urban,54,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,39,"20,000 to 29,000",1,Third Party
No,Urban,30,"30,000 to 39,000",none,Third Party
No,Urban,45,"20,000 to 29,000",none,Third Party
No,Rural,46,"20,000 to 29,000",1,Third Party
No,Urban,34,"40,000 to 59,000",none,Policy Holder
No,Urban,60,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,52,"30,000 to 39,000",none,Third Party
No,Urban,35,"20,000 to 29,000",none,Policy Holder
No,Urban,40,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,25,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,47,"more than 69,000",more than 4,Policy Holder
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,36,"less than 20,000",none,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,33,"20,000 to 29,000",none,Third Party
No,Urban,60,"less than 20,000",none,Policy Holder
No,Urban,23,"20,000 to 29,000",1,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,48,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,43,"20,000 to 29,000",1,Third Party
No,Urban,35,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,31,"more than 69,000",more than 4,Policy Holder
No,Urban,80,"30,000 to 39,000",1,Policy Holder
No,Urban,32,"20,000 to 29,000",1,Third Party
No,Urban,33,"20,000 to 29,000",2 to 4,Third Party
No,Urban,54,"20,000 to 29,000",1,Third Party
No,Urban,41,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,48,"30,000 to 39,000",more than 4,Policy Holder
No,Rural,41,"more than 69,000",1,Policy Holder
No,Urban,56,"less than 20,000",1,Policy Holder
No,Urban,51,"20,000 to 29,000",2 to 4,Third Party
No,Rural,47,"20,000 to 29,000",none,Third Party
No,Urban,44,"more than 69,000",none,Policy Holder
No,Urban,51,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,40,"more than 69,000",more than 4,Policy Holder
No,Urban,54,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,45,"20,000 to 29,000",1,Policy Holder
No,Urban,39,"more than 69,000",more than 4,Policy Holder
No,Urban,39,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,60,"20,000 to 29,000",none,Policy Holder
No,Urban,22,"20,000 to 29,000",1,Third Party
No,Urban,43,"20,000 to 29,000",2 to 4,Third Party
No,Urban,36,"30,000 to 39,000",none,Third Party
No,Urban,33,"30,000 to 39,000",none,Third Party
No,Urban,39,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,44,"20,000 to 29,000",none,Policy Holder
No,Urban,46,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,36,"30,000 to 39,000",1,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Policy Holder
No,Urban,52,"more than 69,000",none,Policy Holder
No,Urban,33,"30,000 to 39,000",2 to 4,Third Party
No,Urban,29,"20,000 to 29,000",1,Third Party
Yes,Urban,64,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,39,"30,000 to 39,000",1,Policy Holder
No,Urban,78,"20,000 to 29,000",none,Policy Holder
No,Urban,71,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,39,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,57,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,78,"20,000 to 29,000",more than 4,Third Party
No,Urban,57,"30,000 to 39,000",2 to 4,Third Party
No,Urban,38,"30,000 to 39,000",1,Policy Holder
No,Urban,45,"20,000 to 29,000",1,Third Party
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,42,"20,000 to 29,000",none,Policy Holder
Yes,Urban,30,"less than 20,000",1,Policy Holder
No,Urban,56,"40,000 to 59,000",1,Policy Holder
No,Urban,0,"more than 69,000",1,Policy Holder
No,Urban,53,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Urban,31,"more than 69,000",more than 4,Third Party
No,Urban,38,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Policy Holder
No,Urban,32,"30,000 to 39,000",none,Policy Holder
No,Urban,34,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,49,"60,000 to 69,000",2 to 4,Policy Holder
No,Urban,40,"less than 20,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",1,Third Party
No,Urban,33,"more than 69,000",2 to 4,Policy Holder
No,Urban,35,"30,000 to 39,000",1,Policy Holder
No,Urban,36,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,40,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,36,"40,000 to 59,000",none,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Third Party
No,Urban,37,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,74,"20,000 to 29,000",none,Third Party
Yes,Urban,22,"less than 20,000",none,Policy Holder
No,Urban,36,"20,000 to 29,000",none,Policy Holder
No,Rural,48,"20,000 to 29,000",none,Policy Holder
No,Urban,30,"more than 69,000",1,Policy Holder
No,Rural,44,"20,000 to 29,000",none,Policy Holder
No,Rural,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,32,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Rural,59,"less than 20,000",1,Policy Holder
No,Urban,52,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,41,"less than 20,000",2 to 4,Policy Holder
No,Urban,27,"more than 69,000",1,Policy Holder
No,Rural,0,"more than 69,000",1,Policy Holder
No,Rural,39,"30,000 to 39,000",none,Policy Holder
No,Urban,43,"20,000 to 29,000",1,Policy Holder
No,Urban,39,"20,000 to 29,000",1,Policy Holder
No,Urban,37,"more than 69,000",more than 4,Policy Holder
No,Urban,43,"more than 69,000",2 to 4,Third Party
No,Urban,33,"less than 20,000",1,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Third Party
No,Urban,56,"20,000 to 29,000",2 to 4,Third Party
No,Rural,22,"20,000 to 29,000",2 to 4,Third Party
No,Urban,34,"40,000 to 59,000",1,Policy Holder
No,Rural,52,"20,000 to 29,000",none,Third Party
